#OTU_ID	D1FB	D1S1A	D1S1B	D1S2A	D1S2B	D1S3A	D1S3B	D1S4A	D1S4B	D1S5A	D1S5B	D1S6A	D1S6B	D1S7A	D1S7B	D1S8A	D1S8B	D2FB	D2S1A	D2S1B	D2S2A	D2S2B	D2S3A	D2S3B	D2S4A	D2S4B	D2S5A	D2S5B	D3FB	D3S1A	D3S1B	D3S2A	D3S2B	D3S3A	D3S3B	D3S4A	D3S4B	D3S5A	D3S5B	D3S6A	D3S6B	D3S7A	D3S7B	D4FB	D4S1A	D4S1B	D4S2A	D4S2B	D4S3A	D4S3B	D4S4A	D4S4B	D4S5A	D4S5B	EB08	EB09	EB10	NEG07	NEG08	NEG09	POS07	POS08	POS09	taxonomy
Anguilla_anguilla	0	2336	634	2284	1994	3326	1886	4284	869	3351	4962	2147	3999	8394	2170	2223	2003	0	3500	1629	3839	1813	965	2032	362	312	2801	543	0	1704	1356	1448	1347	1739	3357	1926	2656	1192	2910	3283	4028	520	1614	0	5449	10551	12132	4776	6725	9135	13355	6049	13458	17749	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Anguilliformes; f__Anguillidae; g__Anguilla; s__Anguilla_anguilla
Maylandia_zebra	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55246	43847	30964	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cichliformes; f__Cichlidae; g__Maylandia; s__Maylandia_zebra
Alosa_alosa	0	342	834	0	0	0	186	300	132	0	1093	0	528	1535	998	0	1535	0	1139	825	2751	2289	0	0	968	152	0	0	0	0	0	235	0	1443	1152	6354	6157	4050	5726	827	2007	2214	2508	0	7817	14366	13658	7164	4966	5258	9538	5591	16274	14853	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Clupeiformes; f__Clupeidae; g__Alosa; s__Alosa_alosa
Cobitis_taenia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cobitidae; g__Cobitis; s__Cobitis_taenia
Barbus_barbus	0	0	0	0	0	310	263	0	0	0	79	0	39	0	293	0	289	0	362	434	421	592	408	0	269	0	0	0	0	123	455	3277	1040	573	1117	1506	1131	930	1433	550	2020	978	301	0	2192	6219	3827	1872	2003	2337	2949	3377	5687	5902	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cyprinidae; g__Barbus; s__Barbus_barbus
Gobio_gobio	0	179	287	216	490	0	868	0	0	912	512	155	0	0	0	340	503	0	596	478	187	556	179	877	639	357	267	186	0	703	1221	2197	1201	1330	1800	1111	1056	1290	1848	489	784	862	169	0	53	104	207	239	25	58	99	82	161	27	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Gobionidae; g__Gobio; s__Gobio_gobio
Abramis_brama	0	4331	12715	6847	6997	8074	5728	14323	6801	5099	10044	2731	3269	5184	4400	4640	4221	0	9466	15025	14365	15197	7107	10362	6548	2318	9395	8994	0	7049	6283	2274	1884	4509	3835	5370	3841	6405	6678	9207	5257	8562	11083	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Abramis; s__Abramis_brama
Alburnus_alburnus	0	864	2103	1051	461	294	889	789	324	1393	827	449	460	2425	0	1034	946	0	1763	807	409	683	0	2270	988	113	1768	273	0	1556	1012	2637	2708	1829	3451	2428	2020	993	3047	1293	1320	770	564	0	1045	993	3244	1108	759	584	1166	727	1092	1319	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Alburnus; s__Alburnus_alburnus
Blicca_bjoerkna	0	1553	2097	946	2391	1090	885	2894	437	289	1432	549	205	796	527	1167	214	0	667	835	120	853	698	180	481	99	1531	1084	0	0	0	168	68	0	0	159	0	0	481	545	0	230	191	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Blicca; s__Blicca_bjoerkna
Leuciscus_leuciscus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Leuciscus; s__Leuciscus_leuciscus
